coder_id,coder,jobset,unit_id,unit_status,variable,value,seconds,field
2605,monika@annotator.com,All,3285326_3285227,DONE,event_match,No,28.442,
2605,monika@annotator.com,All,3285634_3285375,DONE,event_match,Yes,21.49,
2605,monika@annotator.com,All,3290593_3290566,DONE,event_match,Yes,13.959,
2605,monika@annotator.com,All,3287472_3286375,DONE,event_match,No,22.828,
2605,monika@annotator.com,All,3290580_3287448,DONE,event_match,Yes,5.206,
2605,monika@annotator.com,All,3285625_3287399,DONE,event_match,Yes,6.423,
2605,monika@annotator.com,All,3287471_3285661,DONE,event_match,Yes,9.334,
2605,monika@annotator.com,All,3287468_3285227,DONE,event_match,No,53.088,
2605,monika@annotator.com,All,3287473_3290604,DONE,event_match,Yes,7.123,
2605,monika@annotator.com,All,3287536_3288493,DONE,event_match,No,15.471,
2605,monika@annotator.com,All,3290622_6290568,DONE,event_match,Yes,4.583,
2605,monika@annotator.com,All,3290593_6290574,DONE,event_match,Yes,37.685,
2605,monika@annotator.com,All,3287516_3287477,DONE,event_match,No,68.101,
2605,monika@annotator.com,All,3290622_3285325,DONE,event_match,Yes,48.113,
2605,monika@annotator.com,All,3285322_3287397,DONE,event_match,Yes,25.641,
2605,monika@annotator.com,All,3287459_6290507,DONE,event_match,Yes,4.084,
2605,monika@annotator.com,All,3287472_3287471,DONE,event_match,Yes,11.254,
2605,monika@annotator.com,All,3290606_3290566,DONE,event_match,Yes,3.928,
2605,monika@annotator.com,All,3287471_3285217,DONE,event_match,Yes,5.531,
2605,monika@annotator.com,All,3287472_3290571,DONE,event_match,Yes,3.872,
2605,monika@annotator.com,All,3287471_3285627,DONE,event_match,Yes,3.672,
2605,monika@annotator.com,All,3287578_3286171,DONE,event_match,No,13.484,
2605,monika@annotator.com,All,3287472_3290653,DONE,event_match,No,18.889,
2605,monika@annotator.com,All,3287474_3285226,DONE,event_match,Yes,6.845,
2605,monika@annotator.com,All,3287477_3287397,DONE,event_match,Yes,12.238,
2605,monika@annotator.com,All,3287500_3285635,DONE,event_match,Yes,18.303,
2605,monika@annotator.com,All,3287477_6290581,DONE,event_match,Yes,7.652,
2605,monika@annotator.com,All,3290653_6290507,DONE,event_match,Yes,10.921,
2605,monika@annotator.com,All,3287479_3287470,DONE,event_match,Yes,5.925,
2605,monika@annotator.com,All,3286377_3287414,DONE,event_match,No,29.948,
2605,monika@annotator.com,All,3287578_3285375,DONE,event_match,No,13.409,
2605,monika@annotator.com,All,3287475_3287471,DONE,event_match,Yes,4.298,
2605,monika@annotator.com,All,3285325_3287414,DONE,event_match,No,10.618,
2605,monika@annotator.com,All,3290621_6290555,DONE,event_match,Yes,13.186,
2605,monika@annotator.com,All,6290579_3287398,DONE,event_match,Yes,15.135,
2605,monika@annotator.com,All,3290705_3286175,DONE,event_match,Yes,26.043,
2605,monika@annotator.com,All,3287467_3285217,DONE,event_match,Yes,10.851,
2605,monika@annotator.com,All,3287521_3290622,DONE,event_match,No,25.646,
2605,monika@annotator.com,All,3287480_3287470,DONE,event_match,Yes,7.123,
2605,monika@annotator.com,All,3290593_3290653,DONE,event_match,Yes,9.195,
2605,monika@annotator.com,All,3287536_3287500,DONE,event_match,Yes,15.997,
2605,monika@annotator.com,All,3287527_3287472,DONE,event_match,Yes,10.07,
2605,monika@annotator.com,All,3290596_3285325,DONE,event_match,Yes,4.013,
2605,monika@annotator.com,All,3287477_3287414,DONE,event_match,Yes,8.072,
2605,monika@annotator.com,All,3287459_3287398,DONE,event_match,Yes,46.067,
2605,monika@annotator.com,All,3290705_3290593,DONE,event_match,Yes,6.913,
2605,monika@annotator.com,All,3287479_3287467,DONE,event_match,Yes,5.342,
2605,monika@annotator.com,All,3287521_3287479,DONE,event_match,Yes,5.682,
