,coder_id,coder,jobset,unit_id,unit_status,variable,value,seconds,field
0,2608,floris_v@annotator.com,All,3287531_3286186,DONE,topic_match,No,230.23,
1,2608,floris_v@annotator.com,All,3287531_3286186,DONE,confidence_1,++,1.945,
2,2608,floris_v@annotator.com,All,3287531_3286186,DONE,event_match,No,64.489,
3,2608,floris_v@annotator.com,All,3287531_3286186,DONE,confidence_2,++,1.773,
4,2608,floris_v@annotator.com,All,3287467_3285332,DONE,topic_match,No,32.269,
5,2608,floris_v@annotator.com,All,3287467_3285332,DONE,confidence_1,++,3.481,
6,2608,floris_v@annotator.com,All,3287467_3285332,DONE,event_match,No,2.858,
7,2608,floris_v@annotator.com,All,3287467_3285332,DONE,confidence_2,++,2.266,
8,2608,floris_v@annotator.com,All,3287471_6290579,DONE,topic_match,Yes,6.352,
9,2608,floris_v@annotator.com,All,3287471_6290579,DONE,confidence_1,++,1.693,
10,2608,floris_v@annotator.com,All,3287471_6290579,DONE,event_match,No,1.183,
11,2608,floris_v@annotator.com,All,3287471_6290579,DONE,confidence_2,++,1.23,
12,2608,floris_v@annotator.com,All,3287470_3285229,DONE,topic_match,Yes,3.664,
13,2608,floris_v@annotator.com,All,3287470_3285229,DONE,confidence_1,++,0.924,
14,2608,floris_v@annotator.com,All,3287470_3285229,DONE,event_match,No,2.87,
15,2608,floris_v@annotator.com,All,3287470_3285229,DONE,confidence_2,++,0.829,
16,2608,floris_v@annotator.com,All,3287477_3290566,DONE,topic_match,Yes,3.621,
17,2608,floris_v@annotator.com,All,3287477_3290566,DONE,confidence_1,++,1.107,
18,2608,floris_v@annotator.com,All,3287477_3290566,DONE,event_match,No,0.964,
19,2608,floris_v@annotator.com,All,3287477_3290566,DONE,confidence_2,++,0.734,
20,2608,floris_v@annotator.com,All,3290697_6290557,DONE,topic_match,Yes,3.999,
21,2608,floris_v@annotator.com,All,3290697_6290557,DONE,confidence_1,++,1.095,
22,2608,floris_v@annotator.com,All,3290697_6290557,DONE,event_match,No,0.907,
23,2608,floris_v@annotator.com,All,3290697_6290557,DONE,confidence_2,++,1.357,
24,2608,floris_v@annotator.com,All,3287530_3290653,DONE,topic_match,No,1.76,
25,2608,floris_v@annotator.com,All,3287530_3290653,DONE,confidence_1,++,0.918,
26,2608,floris_v@annotator.com,All,3287530_3290653,DONE,event_match,No,0.815,
27,2608,floris_v@annotator.com,All,3287530_3290653,DONE,confidence_2,++,0.936,
28,2608,floris_v@annotator.com,All,3288534_3286194,DONE,topic_match,No,3.252,
29,2608,floris_v@annotator.com,All,3288534_3286194,DONE,confidence_1,++,2.033,
30,2608,floris_v@annotator.com,All,3288534_3286194,DONE,event_match,No,1.152,
31,2608,floris_v@annotator.com,All,3288534_3286194,DONE,confidence_2,++,1.031,
32,2608,floris_v@annotator.com,All,3287467_3285229,DONE,topic_match,Yes,33.191,
33,2608,floris_v@annotator.com,All,3287467_3285229,DONE,confidence_1,++,1.224,
34,2608,floris_v@annotator.com,All,3287467_3285229,DONE,event_match,No,4.896,
35,2608,floris_v@annotator.com,All,3287467_3285229,DONE,confidence_2,++,0.711,
36,2608,floris_v@annotator.com,All,3287530_3286195,DONE,topic_match,No,5.183,
37,2608,floris_v@annotator.com,All,3287530_3286195,DONE,confidence_1,++,1.649,
