,coder_id,coder,jobset,unit_id,unit_status,confidence_1,confidence_2,event_match,topic_match
0,2606,s_ching@annotator.com,All,3285217_3285337,DONE,++,++,No,Yes
1,2606,s_ching@annotator.com,All,3285217_3286175,DONE,++,++,Yes,Yes
2,2606,s_ching@annotator.com,All,3285217_3287465,DONE,++,++,Yes,Yes
3,2606,s_ching@annotator.com,All,3285217_6290567,DONE,++,++,No,Yes
4,2606,s_ching@annotator.com,All,3285217_6290581,DONE,++,++,Yes,Yes
5,2606,s_ching@annotator.com,All,3285226_3287446,DONE,++,++,No,Yes
6,2606,s_ching@annotator.com,All,3285226_6290555,DONE,++,++,No,Yes
7,2606,s_ching@annotator.com,All,3285227_3285217,DONE,++,++,No,Yes
8,2606,s_ching@annotator.com,All,3285227_3285661,DONE,++,++,No,Yes
9,2606,s_ching@annotator.com,All,3285227_6290557,DONE,++,++,No,Yes
10,2606,s_ching@annotator.com,All,3285228_3285328,DONE,++,++,No,Yes
11,2606,s_ching@annotator.com,All,3285228_3285661,DONE,++,++,No,Yes
12,2606,s_ching@annotator.com,All,3285229_6290556,DONE,++,++,Yes,Yes
13,2606,s_ching@annotator.com,All,3285230_6290523,DONE,++,++,No,Yes
14,2606,s_ching@annotator.com,All,3285233_3285226,DONE,++,++,No,Yes
15,2606,s_ching@annotator.com,All,3285233_3285240,DONE,++,++,No,Yes
16,2606,s_ching@annotator.com,All,3285233_3285633,DONE,++,++,No,Yes
17,2606,s_ching@annotator.com,All,3285233_3285661,DONE,++,++,No,Yes
18,2606,s_ching@annotator.com,All,3285233_6290505,DONE,++,++,No,Yes
19,2606,s_ching@annotator.com,All,3285243_3285370,DONE,++,++,No,Yes
20,2606,s_ching@annotator.com,All,3285243_3285633,DONE,++,++,No,Yes
21,2606,s_ching@annotator.com,All,3285243_3285647,DONE,++,++,No,Yes
22,2606,s_ching@annotator.com,All,3285243_3287446,DONE,++,++,No,Yes
23,2606,s_ching@annotator.com,All,3285254_3285635,DONE,++,++,No,No
24,2606,s_ching@annotator.com,All,3285254_3285657,DONE,++,++,No,No
25,2606,s_ching@annotator.com,All,3285254_3287414,DONE,++,++,No,No
26,2606,s_ching@annotator.com,All,3285254_3287485,DONE,++,++,No,No
27,2606,s_ching@annotator.com,All,3285316_3285240,DONE,++,++,No,Yes
28,2606,s_ching@annotator.com,All,3285316_3285634,DONE,++,++,No,Yes
29,2606,s_ching@annotator.com,All,3285316_3287448,DONE,++,++,No,Yes
30,2606,s_ching@annotator.com,All,3285316_3287485,DONE,++,++,No,Yes
31,2606,s_ching@annotator.com,All,3285316_6290507,DONE,++,++,No,Yes
32,2606,s_ching@annotator.com,All,3285322_3286175,DONE,++,++,Yes,Yes
33,2606,s_ching@annotator.com,All,3285322_3287446,DONE,++,++,No,Yes
34,2606,s_ching@annotator.com,All,3285323_3285335,DONE,++,++,No,No
35,2606,s_ching@annotator.com,All,3285323_6290568,DONE,++,++,Yes,Yes
36,2606,s_ching@annotator.com,All,3285323_6290579,DONE,++,++,Yes,Yes
37,2606,s_ching@annotator.com,All,3285325_3285254,DONE,++,++,No,No
38,2606,s_ching@annotator.com,All,3285325_3285627,DONE,++,++,No,Yes
39,2606,s_ching@annotator.com,All,3285325_3286168,DONE,++,++,No,Yes
40,2606,s_ching@annotator.com,All,3285325_3287399,DONE,++,++,No,Yes
41,2606,s_ching@annotator.com,All,3285325_6290523,DONE,++,++,No,Yes
42,2606,s_ching@annotator.com,All,3285325_6290555,DONE,++,++,No,Yes
43,2606,s_ching@annotator.com,All,3285326_3285375,DONE,++,++,Yes,Yes
